retailer_id,retailer_product_id,retailer_product_description,product_id,match_method,match_confidence,effective_start_date,effective_end_date
RTL-WMT,WMT-190652,PEAKREFRESH CITRUS 12-PACK CANS,P00001,EXACT_UPC,0.989,2025-01-01,
RTL-WMT,WMT-495731,MORNINGGRAIN CINNAMON 12 OZ BOX,P00003,EXACT_UPC,0.986,2025-01-01,
RTL-WMT,WMT-808690,PUREGLOW CITRUS FRESH 8 OZ BOTTLE,P00004,EXACT_UPC,0.988,2025-01-01,
RTL-WMT,WMT-569754,CLEARHOME LEMON 12-ROLL PACK,P00005,EXACT_UPC,0.998,2025-01-01,
RTL-WMT,WMT-505726,SAVORYCO ORIGINAL 14 OZ BOTTLE,P00007,MANUAL_REVIEW,0.695,2025-01-01,
RTL-WMT,WMT-636358,SUNCREST CITRUS 1 LITER BOTTLE,P00008,EXACT_UPC,0.993,2025-01-01,
RTL-WMT,WMT-925729,GOLDENBITE CLASSIC SALTED 6-COUNT BOX,P00009,EXACT_UPC,0.988,2025-01-01,
RTL-WMT,WMT-934754,DAILYFRESH MINT 4-PACK,P00011,EXACT_UPC,0.994,2025-01-01,
RTL-WMT,WMT-871117,TIDYSPRING LEMON 6-ROLL PACK,P00012,EXACT_UPC,0.97,2025-01-31,
RTL-TGT,TGT-458753,PEAKREFRESH CITRUS 12-PACK CANS,P00001,EXACT_UPC,0.979,2025-01-01,
RTL-TGT,TGT-648173,GOLDENBITE CLASSIC SALTED 8 OZ BAG,P00002,EXACT_UPC,0.979,2025-01-01,2025-03-01
RTL-TGT,TGT-990826,GOLDENBITE CLASSIC SALTED 8 OZ BAG,P00002,RETAILER_FEED_ID,1.0,2025-03-02,
RTL-TGT,TGT-656076,MORNINGGRAIN CINNAMON 12 OZ BOX,P00003,FUZZY_NAME_MATCH,0.905,2025-01-01,
RTL-TGT,TGT-292925,CLEARHOME LEMON 12-ROLL PACK,P00005,EXACT_UPC,0.988,2025-01-01,
RTL-TGT,TGT-833452,FROSTFARM GARDEN BLEND 16 OZ BAG,P00006,FUZZY_NAME_MATCH,0.723,2025-01-01,
RTL-TGT,TGT-591638,SUNCREST CITRUS 1 LITER BOTTLE,P00008,EXACT_UPC,0.975,2025-01-01,
RTL-TGT,TGT-286095,TIDYSPRING LEMON 6-ROLL PACK,P00012,EXACT_UPC,0.991,2025-01-31,
RTL-KRG,KRG-576632,PUREGLOW CITRUS FRESH 8 OZ BOTTLE,P00004,FUZZY_NAME_MATCH,0.829,2025-01-01,
RTL-KRG,KRG-302343,CLEARHOME LEMON 12-ROLL PACK,P00005,EXACT_UPC,0.971,2025-01-01,2025-03-01
RTL-KRG,KRG-463605,CLEARHOME LEMON 12-ROLL PACK,P00005,RETAILER_FEED_ID,1.0,2025-03-02,
RTL-KRG,KRG-655748,GOLDENBITE CLASSIC SALTED 6-COUNT BOX,P00009,FUZZY_NAME_MATCH,0.903,2025-01-01,
RTL-KRG,KRG-206780,MORNINGGRAIN HONEY NUT 10-COUNT BOX,P00010,EXACT_UPC,0.976,2025-04-06,
RTL-KRG,KRG-167383,DAILYFRESH MINT 4-PACK,P00011,MANUAL_REVIEW,0.703,2025-01-01,
RTL-KRG,KRG-461104,TIDYSPRING LEMON 6-ROLL PACK,P00012,EXACT_UPC,0.972,2025-01-31,2025-03-01
RTL-KRG,KRG-685933,TIDYSPRING LEMON 6-ROLL PACK,P00012,RETAILER_FEED_ID,1.0,2025-03-02,
RTL-AMZ,AMZ-687247,PEAKREFRESH CITRUS 12-PACK CANS,P00001,EXACT_UPC,0.979,2025-01-01,2025-03-01
RTL-AMZ,AMZ-771570,PEAKREFRESH CITRUS 12-PACK CANS,P00001,RETAILER_FEED_ID,1.0,2025-03-02,
RTL-AMZ,AMZ-587168,GOLDENBITE CLASSIC SALTED 8 OZ BAG,P00002,EXACT_UPC,1.0,2025-01-01,
RTL-AMZ,AMZ-842746,MORNINGGRAIN CINNAMON 12 OZ BOX,P00003,RETAILER_FEED_ID,0.623,2025-01-01,
RTL-AMZ,AMZ-973034,PUREGLOW CITRUS FRESH 8 OZ BOTTLE,P00004,MANUAL_REVIEW,0.87,2025-01-01,
RTL-AMZ,AMZ-850327,CLEARHOME LEMON 12-ROLL PACK,P00005,EXACT_UPC,0.979,2025-01-01,
RTL-AMZ,AMZ-474194,FROSTFARM GARDEN BLEND 16 OZ BAG,P00006,EXACT_UPC,0.993,2025-01-01,
RTL-AMZ,AMZ-906944,SAVORYCO ORIGINAL 14 OZ BOTTLE,P00007,MANUAL_REVIEW,0.726,2025-01-01,
RTL-AMZ,AMZ-291008,SUNCREST CITRUS 1 LITER BOTTLE,P00008,EXACT_UPC,0.973,2025-01-01,
RTL-AMZ,AMZ-168136,GOLDENBITE CLASSIC SALTED 6-COUNT BOX,P00009,EXACT_UPC,0.972,2025-01-01,
RTL-AMZ,AMZ-765997,MORNINGGRAIN HONEY NUT 10-COUNT BOX,P00010,EXACT_UPC,0.995,2025-04-06,
RTL-AMZ,AMZ-225608,DAILYFRESH MINT 4-PACK,P00011,EXACT_UPC,0.991,2025-01-01,
RTL-AMZ,AMZ-594451,TIDYSPRING LEMON 6-ROLL PACK,P00012,EXACT_UPC,0.974,2025-01-31,
